ID,匹配关系ID,版本ID,物料项ID,*基本流ID,基本流名称（中文）,基本流名称（英文）,基本流分类,流类型,单位（英文）
43273247282720781,43273247233961991,41524144274399237,42474577543421965,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720780,43273247233961990,41524144274399237,42474577543421964,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720779,43273247233961989,41524144274399237,42474577543421963,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720778,43273247233699857,41524144274399237,42474577543421961,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720777,43273247233699856,41524144274399237,42474577543421958,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720776,43273247233699855,41524144274399237,42474577543159828,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720775,43273247233699854,41524144274399237,42474577543159827,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720774,43273247233699853,41524144274399237,42474577542635532,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720773,43273247233699852,41524144274399237,42474577543159826,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458640,43273247233699851,41524144274399237,42474577543159824,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458639,43273247233699850,41524144274399237,42474577542635534,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458638,43273247233699849,41524144274399237,42474577542635529,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458637,43273247233699848,41524144274399237,43272158162743301,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458636,43273247233699847,41524144274399237,42474577542635526,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458635,43273247233699846,41524144274399237,42474577542635525,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458634,43273247233699845,41524144274399237,42474577542373392,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458633,43273247233437713,41524144274399237,42474577542373389,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458632,43273247233437712,41524144274399237,42474577542897686,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458631,43273247233437711,41524144274399237,42474577542373386,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458630,43273247233437710,41524144274399237,42474577542373384,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282458629,43273247232913420,41524144274399237,42614633777717264,41705996354338823,回收用材料,Materials for recycling,清单指标/输出流,特殊资源指标,kg
